genre,movie,year,score,people
豆瓣电影标签：爱情,"
                        最好的我们
                        / With You
",2016,8.7,49672
豆瓣电影标签：爱情,"
                        一树梨花压海棠
                        / 洛丽塔 / 禁忌情迷
",1997,8.0,83319
豆瓣电影标签：爱情,"
                        侧耳倾听
                        / 心之谷 / 梦幻街少女
",1995,8.8,159032
豆瓣电影标签：爱情,"
                        美丽心灵
                        / 有你终生美丽(港) / 美丽境界(台)
",2002,8.9,296684
豆瓣电影标签：爱情,"
                        不能说的秘密
                        / Secret
",2007,7.6,239426
豆瓣电影标签：爱情,"
                        声之形
                        / The Shape of Voice / Koe no katachi
",2016,7.7,8829
豆瓣电影标签：爱情,"
                        言叶之庭
                        / 言语之庭 / 语言之庭
",2013,8.1,108336
豆瓣电影标签：爱情,"
                        沉静如海
                        / 海的沉默 / The Silence of the Sea
",2004,9.0,25792
豆瓣电影标签：爱情,"
                        了不起的盖茨比
                        / 大亨小传(港/台)
",2013,7.7,253256
豆瓣电影标签：爱情,"
                        萤火之森
                        / 萤火之社 / Hotarubi no mori e
",2011,8.7,144605
豆瓣电影标签：爱情,"
                        暖暖内含光
                        / 暧暧内含光 / 美丽心灵的永恒阳光
",2004,8.4,135443
豆瓣电影标签：爱情,"
                        夏洛特烦恼
                        / Goodbye Mr. Loser
",2015,7.4,335928
豆瓣电影标签：爱情,"
                        五十度黑
                        / 格雷的五十道色戒2(港) / 格雷的五十道阴影：束缚(台)
",2017,4.8,18933
豆瓣电影标签：爱情,"
                        廊桥遗梦
                        / 麦迪逊之桥(港/台)
",1995,8.5,91131
豆瓣电影标签：爱情,"
                        诺丁山
                        / 摘星奇缘(港) / 新娘百分百(台)
",1999,7.9,180423
豆瓣电影标签：爱情,"
                        独自等待
                        / Waiting Alone
",2005,8.1,139608
豆瓣电影标签：爱情,"
                        蓝色大门
                        / Blue Gate Crossing / 蓝色大门
",2002,8.3,259969
豆瓣电影标签：爱情,"
                        情人
                        / The Lover
",1992,8.1,88263
豆瓣电影标签：爱情,"
                        卡罗尔
                        / 因为爱你(台) / 卡露的情人(港)
",2016,8.2,120610
豆瓣电影标签：爱情,"
                        魂断蓝桥
                        / 滑铁卢桥 / 断桥残梦
",1940,8.8,123914
豆瓣电影标签：爱情,"
                        曾经
                        / 一奏倾情(港) / 曾经。爱是唯一(台)
",2007,8.3,193100
豆瓣电影标签：爱情,"
                        寒武纪
                        / Cambrian Period
",2017,6.6,3356
豆瓣电影标签：爱情,"
                        赎罪
                        / 爱．诱．罪(港/台) / 救赎
",2007,8.2,136257
豆瓣电影标签：爱情,"
                        被嫌弃的松子的一生
                        / 花样奇缘(港) / 令人讨厌的松子的一生(台)
",2006,8.9,268973
豆瓣电影标签：爱情,"
                        哥哥太爱我了怎么办
                        / 哥哥太爱我了怎么办 电视剧版
",2017,7.0,9447
豆瓣电影标签：爱情,"
                        初恋50次
                        / 初恋五十次 / 50次初恋
",2004,7.9,191033
豆瓣电影标签：爱情,"
                        昼颜：工作日下午3点的恋人们
                        / 昼颜：平日午后3时的恋人们 / 午后人妻
",2014,8.6,80264
豆瓣电影标签：爱情,"
                        穿越时空的少女
                        / 跳跃吧！时空少女(台) / Toki o kakeru shôjo
",2006,8.6,176289
豆瓣电影标签：爱情,"
                        他是龙
                        / 他是拽蚣(豆友译名) / On - drakon
",2016,7.4,87613
豆瓣电影标签：爱情,"
                        太阳的后裔
                        / Descendants of the Sun
",2016,7.6,83461
豆瓣电影标签：爱情,"
                        六人晚餐
                        / Youth Dinner
",2017,5.5,1486
豆瓣电影标签：爱情,"
                        昼颜 电影版
                        / Hirugao / Hirugao: Love Affairs in the Afternoon
",2017,7.0,846
豆瓣电影标签：爱情,"
                        暮光之城
                        / 暮色 / 吸血新世纪(港)
",2009,7.3,264847
豆瓣电影标签：爱情,"
                        卡萨布兰卡
                        / 北非谍影(港) / 卡萨布兰卡
",1943,8.6,117042
豆瓣电影标签：爱情,"
                        阿黛尔的生活
                        / 接近无限温暖的蓝(港) / 蓝色是最温暖的颜色(台)
",2013,8.3,95512
豆瓣电影标签：爱情,"
                        28岁未成年
                        / 二十八岁未成年 / Suddenly Seventeen
",2016,5.7,49869
豆瓣电影标签：爱情,"
                        听说
                        / Hear Me / 听说
",2015,8.1,270224
豆瓣电影标签：爱情,"
                        逃避虽可耻但有用
                        / 雇佣妻子(港) / 月薪娇妻(台)
",2016,8.3,47708
豆瓣电影标签：爱情,"
                        我的野蛮女友
                        / 我的淘气女友 / 猎奇女友
",2001,8.1,253662
豆瓣电影标签：爱情,"
                        漂洋过海来爱你
                        / 神农溪之恋 / 海を越えた愛
",2017,3.7,987
豆瓣电影标签：爱情,"
                        孤单又灿烂的神：鬼怪
                        / 孤独又灿烂的神 / 찬란하神-도깨비
",2016,8.3,103997
豆瓣电影标签：爱情,"
                        闻香识女人
                        / 女人香 / 女人的芳香
",1992,8.9,313050
豆瓣电影标签：爱情,"
                        北京遇上西雅图
                        / 美丽有缘 / 情定西雅图
",2016,7.4,356345
豆瓣电影标签：爱情,"
                        牛奶配送员的奇幻人生
                        / 送奶路上 / 牛奶配送员的魔幻人生(台)
",2017,7.4,3338
